
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.880]   Just
[00:00:36.100 --> 00:00:36.220]   the
[00:00:36.220 --> 00:00:36.320]   table
[00:00:36.320 --> 00:00:36.600]   here
[00:00:36.600 --> 00:00:36.970]   ready
[00:00:36.970 --> 00:00:37.120]   to
[00:00:37.120 --> 00:00:37.570]   record
[00:00:37.570 --> 00:00:38.090]   another
[00:00:38.090 --> 00:00:38.610]   episode
[00:00:38.610 --> 00:00:38.770]   of
[00:00:38.770 --> 00:00:39.060]   Tech
[00:00:39.060 --> 00:00:39.180]  S
[00:00:39.180 --> 00:00:39.400]  ing
[00:00:39.400 --> 00:00:39.420]  h
[00:00:39.420 --> 00:00:39.640]   and
[00:00:39.640 --> 00:00:39.780]   we
[00:00:39.780 --> 00:00:40.310]  're
[00:00:40.310 --> 00:00:40.410]   very
[00:00:40.410 --> 00:00:40.900]   excited
[00:00:40.900 --> 00:00:40.990]   about
[00:00:40.990 --> 00:00:41.190]   it
[00:00:41.190 --> 00:00:41.280]   I
[00:00:41.280 --> 00:00:41.580]   think
[00:00:41.580 --> 00:00:42.030]  .
[00:00:42.030 --> 00:00:42.200]   You
[00:00:42.200 --> 00:00:42.530]   think
[00:00:42.530 --> 00:00:42.750]  ?
[00:00:42.750 --> 00:00:42.820]   I
[00:00:42.820 --> 00:00:43.320]   think
[00:00:43.320 --> 00:00:43.440]  .
[00:00:43.440 --> 00:00:43.860]   You
[00:00:43.860 --> 00:00:44.210]   excited
[00:00:44.210 --> 00:00:44.740]  ?
[00:00:44.740 --> 00:00:45.480]   Yeah
[00:00:45.480 --> 00:00:45.560]   why
[00:00:45.560 --> 00:00:45.760]   not
[00:00:45.760 --> 00:00:46.880]  ?
[00:00:46.880 --> 00:00:47.020]   So
[00:00:47.020 --> 00:00:47.660]   you
[00:00:47.660 --> 00:00:47.840]   guys
[00:00:47.840 --> 00:00:48.080]   are
[00:00:48.080 --> 00:00:48.280]   heading
[00:00:48.280 --> 00:00:48.800]   out
[00:00:48.800 --> 00:00:48.990]   to
[00:00:48.990 --> 00:00:49.700]   Chicago
[00:00:49.700 --> 00:00:50.410]   tomorrow
[00:00:50.410 --> 00:00:50.750]   right
[00:00:50.750 --> 00:00:51.410]  ?
[00:00:51.410 --> 00:00:51.540]   Yeah
[00:00:51.540 --> 00:00:51.820]  .
[00:00:51.820 --> 00:00:52.010]   So
[00:00:52.010 --> 00:00:52.390]   this
[00:00:52.390 --> 00:00:52.570]   is
[00:00:52.570 --> 00:00:52.970]   the
[00:00:52.970 --> 00:00:53.320]   last
[00:00:53.320 --> 00:00:53.430]   of
[00:00:53.430 --> 00:00:53.520]   U
[00:00:53.520 --> 00:00:53.710]  di
[00:00:53.710 --> 00:00:54.040]  ?
[00:00:54.040 --> 00:00:54.080]   Hopefully
[00:00:54.080 --> 00:00:54.200]   not
[00:00:54.200 --> 00:00:54.360]   the
[00:00:54.360 --> 00:00:54.520]   last
[00:00:54.520 --> 00:00:54.580]   of
[00:00:54.580 --> 00:00:54.630]   U
[00:00:54.630 --> 00:00:54.680]  di
[00:00:54.680 --> 00:00:54.680]  .
[00:00:54.680 --> 00:00:54.680]  
[00:00:54.680 --> 00:00:54.790]   I
[00:00:54.790 --> 00:00:55.230]   hope
[00:00:55.230 --> 00:00:55.560]   not
[00:00:55.560 --> 00:00:55.890]  .
[00:00:55.890 --> 00:00:56.200]   So
[00:00:56.200 --> 00:00:56.440]   you
[00:00:56.440 --> 00:00:56.790]  're
[00:00:56.790 --> 00:00:57.320]   going
[00:00:57.320 --> 00:00:57.870]   to
[00:00:57.870 --> 00:00:58.360]   Chicago
[00:00:58.360 --> 00:00:58.720]   for
[00:00:58.720 --> 00:00:58.840]   a
[00:00:58.840 --> 00:00:59.000]   week
[00:00:59.000 --> 00:00:59.800]   to
[00:00:59.800 --> 00:01:00.000]   do
[00:01:00.000 --> 00:01:00.200]   some
[00:01:00.200 --> 00:01:00.360]   work
[00:01:00.360 --> 00:01:00.400]   with
[00:01:00.400 --> 00:01:00.460]   Dig
[00:01:00.460 --> 00:01:00.470]  i
[00:01:00.470 --> 00:01:00.480]  D
[00:01:00.480 --> 00:01:00.510]  ig
[00:01:00.510 --> 00:01:00.570]  ital
[00:01:00.570 --> 00:01:00.680]  ?
[00:01:00.680 --> 00:01:00.840]   We
[00:01:00.840 --> 00:01:01.000]   go
[00:01:01.000 --> 00:01:01.160]   to
[00:01:01.160 --> 00:01:01.830]   Chicago
[00:01:01.830 --> 00:01:01.990]   for
[00:01:01.990 --> 00:01:02.090]   a
[00:01:02.090 --> 00:01:02.440]   few
[00:01:02.440 --> 00:01:02.650]   days
[00:01:02.650 --> 00:01:02.900]   and
[00:01:02.900 --> 00:01:03.230]   then
[00:01:03.230 --> 00:01:03.310]   I
[00:01:03.310 --> 00:01:03.610]  'm
[00:01:03.610 --> 00:01:03.880]   going
[00:01:03.880 --> 00:01:04.120]   to
[00:01:04.120 --> 00:01:04.340]   New
[00:01:04.340 --> 00:01:04.480]   York
[00:01:04.480 --> 00:01:04.750]   and
[00:01:04.750 --> 00:01:05.440]   Justin
[00:01:05.440 --> 00:01:05.520]   will
[00:01:05.520 --> 00:01:05.720]   be
[00:01:05.720 --> 00:01:05.800]   back
[00:01:05.800 --> 00:01:05.800]  .
[00:01:05.800 --> 00:01:06.320]   Yeah
[00:01:06.320 --> 00:01:06.410]   we
[00:01:06.410 --> 00:01:06.580]  'll
[00:01:06.580 --> 00:01:06.750]   be
[00:01:06.750 --> 00:01:07.030]   in
[00:01:07.030 --> 00:01:07.190]   the
[00:01:07.190 --> 00:01:07.880]   schools
[00:01:07.880 --> 00:01:08.140]   that
[00:01:08.140 --> 00:01:08.490]   have
[00:01:08.490 --> 00:01:08.830]   Dig
[00:01:08.830 --> 00:01:08.870]  i
[00:01:08.870 --> 00:01:08.910]  D
[00:01:08.910 --> 00:01:09.080]  ig
[00:01:09.080 --> 00:01:09.500]  ital
[00:01:09.500 --> 00:01:09.760]  .
[00:01:09.760 --> 00:01:10.200]   How
[00:01:10.200 --> 00:01:10.300]   many
[00:01:10.300 --> 00:01:10.640]   schools
[00:01:10.640 --> 00:01:10.840]   are
[00:01:10.840 --> 00:01:10.860]   there
[00:01:10.860 --> 00:01:10.880]  ?
[00:01:10.880 --> 00:01:10.970]   There
[00:01:10.970 --> 00:01:11.600]  's
[00:01:11.600 --> 00:01:11.660]   three
[00:01:11.660 --> 00:01:12.070]   schools
[00:01:12.070 --> 00:01:12.140]   at
[00:01:12.140 --> 00:01:12.380]   this
[00:01:12.380 --> 00:01:12.670]   stage
[00:01:12.670 --> 00:01:13.080]  .
[00:01:13.080 --> 00:01:13.210]   Okay
[00:01:13.210 --> 00:01:13.340]   so
[00:01:13.340 --> 00:01:13.650]   that
[00:01:13.650 --> 00:01:13.890]  's
[00:01:13.890 --> 00:01:14.110]   your
[00:01:14.110 --> 00:01:14.440]   beta
[00:01:14.440 --> 00:01:14.780]   group
[00:01:14.780 --> 00:01:15.000]   testing
[00:01:15.000 --> 00:01:15.000]  ?
[00:01:15.000 --> 00:01:15.400]   Yeah
[00:01:15.400 --> 00:01:16.020]   still
[00:01:16.020 --> 00:01:16.580]   working
[00:01:16.580 --> 00:01:16.780]   it
[00:01:16.780 --> 00:01:17.070]   out
[00:01:17.070 --> 00:01:17.830]  .
[00:01:17.830 --> 00:01:17.950]   Okay
[00:01:17.950 --> 00:01:18.200]   so
[00:01:18.200 --> 00:01:18.280]   that
[00:01:18.280 --> 00:01:18.320]  's
[00:01:18.320 --> 00:01:18.470]   good
[00:01:18.470 --> 00:01:18.560]   so
[00:01:18.560 --> 00:01:18.640]   you
[00:01:18.640 --> 00:01:18.720]   can
[00:01:18.720 --> 00:01:18.920]   see
[00:01:18.920 --> 00:01:19.160]   what
[00:01:19.160 --> 00:01:19.280]  's
[00:01:19.280 --> 00:01:19.770]   working
[00:01:19.770 --> 00:01:20.050]   what
[00:01:20.050 --> 00:01:20.190]  's
[00:01:20.190 --> 00:01:20.410]   not
[00:01:20.410 --> 00:01:20.610]  .
[00:01:20.610 --> 00:01:20.820]   And
[00:01:20.820 --> 00:01:21.310]   then
[00:01:21.310 --> 00:01:21.390]   why
[00:01:21.390 --> 00:01:21.520]   are
[00:01:21.520 --> 00:01:21.730]   you
[00:01:21.730 --> 00:01:22.080]   going
[00:01:22.080 --> 00:01:22.220]   to
[00:01:22.220 --> 00:01:22.440]   New
[00:01:22.440 --> 00:01:22.570]   York
[00:01:22.570 --> 00:01:22.680]  ?
[00:01:22.680 --> 00:01:23.000]  
[00:01:23.000 --> 00:01:23.300]   Visit
[00:01:23.300 --> 00:01:23.550]   my
[00:01:23.550 --> 00:01:24.430]   family
[00:01:24.430 --> 00:01:24.680]  .
[00:01:24.680 --> 00:01:24.750]   I
[00:01:24.750 --> 00:01:25.030]   have
[00:01:25.030 --> 00:01:25.390]   family
[00:01:25.390 --> 00:01:25.830]  .
[00:01:25.830 --> 00:01:25.890]   Oh
[00:01:25.890 --> 00:01:26.340]   okay
[00:01:26.340 --> 00:01:26.710]  .
[00:01:26.710 --> 00:01:27.100]   So
[00:01:27.100 --> 00:01:27.440]   you
[00:01:27.440 --> 00:01:28.380]   guys
[00:01:28.380 --> 00:01:28.720]   were
[00:01:28.720 --> 00:01:28.900]   just
[00:01:28.900 --> 00:01:29.000]   at
[00:01:29.000 --> 00:01:29.320]   Target
[00:01:29.320 --> 00:01:29.740]   buying
[00:01:29.740 --> 00:01:29.810]   U
[00:01:29.810 --> 00:01:29.950]  di
[00:01:29.950 --> 00:01:30.440]   clothes
[00:01:30.440 --> 00:01:30.680]  ?
[00:01:30.680 --> 00:01:30.930]   Yeah
[00:01:30.930 --> 00:01:31.360]   except
[00:01:31.360 --> 00:01:31.650]   that
[00:01:31.650 --> 00:01:32.050]   Target
[00:01:32.050 --> 00:01:32.190]   of
[00:01:32.190 --> 00:01:32.640]   course
[00:01:32.640 --> 00:01:32.960]   in
[00:01:32.960 --> 00:01:33.350]   Pas
[00:01:33.350 --> 00:01:33.690]  ad
[00:01:33.690 --> 00:01:34.000]  ena
[00:01:34.000 --> 00:01:34.320]   have
[00:01:34.320 --> 00:01:34.520]   no
[00:01:34.520 --> 00:01:35.040]   warm
[00:01:35.040 --> 00:01:35.460]   clothes
[00:01:35.460 --> 00:01:35.710]  .
[00:01:35.710 --> 00:01:36.090]   Yeah
[00:01:36.090 --> 00:01:36.370]   why
[00:01:36.370 --> 00:01:36.640]   were
[00:01:36.640 --> 00:01:36.890]   you
[00:01:36.890 --> 00:01:37.310]   going
[00:01:37.310 --> 00:01:37.390]   there
[00:01:37.390 --> 00:01:38.220]  ?
[00:01:38.220 --> 00:01:39.050]   It
[00:01:39.050 --> 00:01:39.240]   was
[00:01:39.240 --> 00:01:39.840]   just
[00:01:39.840 --> 00:01:40.120]   the
[00:01:40.120 --> 00:01:40.280]   first
[00:01:40.280 --> 00:01:40.440]   place
[00:01:40.440 --> 00:01:40.520]   we
[00:01:40.520 --> 00:01:40.990]   thought
[00:01:40.990 --> 00:01:41.460]   of
[00:01:41.460 --> 00:01:41.530]   going
[00:01:41.530 --> 00:01:41.660]  .
[00:01:41.660 --> 00:01:42.000]   Maybe
[00:01:42.000 --> 00:01:42.130]   RE
[00:01:42.130 --> 00:01:42.190]  I
[00:01:42.190 --> 00:01:42.520]  .
[00:01:42.520 --> 00:01:42.730]   Oh
[00:01:42.730 --> 00:01:42.790]   yeah
[00:01:42.790 --> 00:01:42.990]  ?
[00:01:42.990 --> 00:01:43.260]   Yeah
[00:01:43.260 --> 00:01:43.500]   if
[00:01:43.500 --> 00:01:43.590]   you
[00:01:43.590 --> 00:01:43.870]   want
[00:01:43.870 --> 00:01:44.080]   to
[00:01:44.080 --> 00:01:44.200]   get
[00:01:44.200 --> 00:01:44.320]   like
[00:01:44.320 --> 00:01:44.520]   some
[00:01:44.520 --> 00:01:44.960]   winter
[00:01:44.960 --> 00:01:45.400]   stuff
[00:01:45.400 --> 00:01:45.400]  .
[00:01:45.400 --> 00:01:45.750]   Yeah
[00:01:45.750 --> 00:01:46.260]  .
[00:01:46.260 --> 00:01:46.270]   You
[00:01:46.270 --> 00:01:46.700]   could
[00:01:46.700 --> 00:01:46.870]   go
[00:01:46.870 --> 00:01:47.040]   to
[00:01:47.040 --> 00:01:47.210]   RE
[00:01:47.210 --> 00:01:47.290]  I
[00:01:47.290 --> 00:01:47.460]   or
[00:01:47.460 --> 00:01:47.720]   you
[00:01:47.720 --> 00:01:48.150]   could
[00:01:48.150 --> 00:01:48.320]   go
[00:01:48.320 --> 00:01:48.580]   to
[00:01:48.580 --> 00:01:48.860]   Sports
[00:01:48.860 --> 00:01:48.960]   LA
[00:01:48.960 --> 00:01:49.120]  .
[00:01:49.120 --> 00:01:49.280]   They
[00:01:49.280 --> 00:01:49.400]   have
[00:01:49.400 --> 00:01:49.440]   a
[00:01:49.440 --> 00:01:49.600]   lot
[00:01:49.600 --> 00:01:49.640]   of
[00:01:49.640 --> 00:01:49.640]  
[00:01:49.640 --> 00:01:49.970]   stuff
[00:01:49.970 --> 00:01:50.170]   for
[00:01:50.170 --> 00:01:50.590]   you
[00:01:50.590 --> 00:01:50.640]   know
[00:01:50.640 --> 00:01:50.840]   ski
[00:01:50.840 --> 00:01:51.040]  ,
[00:01:51.040 --> 00:01:51.240]   snow
[00:01:51.240 --> 00:01:51.780]  boarding
[00:01:51.780 --> 00:01:52.050]   kind
[00:01:52.050 --> 00:01:52.180]   of
[00:01:52.180 --> 00:01:52.510]   stuff
[00:01:52.510 --> 00:01:52.760]   and
[00:01:52.760 --> 00:01:53.150]   related
[00:01:53.150 --> 00:01:53.490]  .
[00:01:53.490 --> 00:01:53.670]   So
[00:01:53.670 --> 00:01:54.070]   I
[00:01:54.070 --> 00:01:54.730]   would
[00:01:54.730 --> 00:01:54.840]   head
[00:01:54.840 --> 00:01:54.920]   up
[00:01:54.920 --> 00:01:55.240]   there
[00:01:55.240 --> 00:01:55.510]  .
[00:01:55.510 --> 00:01:55.690]   Yeah
[00:01:55.690 --> 00:01:56.140]   Target
[00:01:56.140 --> 00:01:56.220]   I
[00:01:56.220 --> 00:01:56.430]   mean
[00:01:56.430 --> 00:01:56.590]   you
[00:01:56.590 --> 00:01:56.850]   know
[00:01:56.850 --> 00:01:57.040]   you
[00:01:57.040 --> 00:01:57.360]   know
[00:01:57.360 --> 00:01:57.440]   it
[00:01:57.440 --> 00:01:57.520]  's
[00:01:57.520 --> 00:01:57.610]   not
[00:01:57.610 --> 00:01:57.770]   gonna
[00:01:57.770 --> 00:01:57.830]   be
[00:01:57.830 --> 00:01:57.880]   a
[00:01:57.880 --> 00:01:58.280]   selection
[00:01:58.280 --> 00:01:58.440]   for
[00:01:58.440 --> 00:01:58.680]   cold
[00:01:58.680 --> 00:01:59.140]   weather
[00:01:59.140 --> 00:01:59.630]   clothing
[00:01:59.630 --> 00:02:00.210]   especially
[00:02:00.210 --> 00:02:00.480]   the
[00:02:00.480 --> 00:02:00.720]   winter
[00:02:00.720 --> 00:02:00.840]  's
[00:02:00.840 --> 00:02:01.190]   almost
[00:02:01.190 --> 00:02:01.340]   over
[00:02:01.340 --> 00:02:02.090]   you
[00:02:02.090 --> 00:02:03.510]   know
[00:02:03.510 --> 00:02:03.720]   my
[00:02:03.720 --> 00:02:04.200]   guess
[00:02:04.200 --> 00:02:04.200]  .
[00:02:04.200 --> 00:02:04.400]   So
[00:02:04.400 --> 00:02:04.810]   cool
[00:02:04.810 --> 00:02:05.160]   so
[00:02:05.160 --> 00:02:05.420]   what
[00:02:05.420 --> 00:02:05.730]   was
[00:02:05.730 --> 00:02:06.040]   it
[00:02:06.040 --> 00:02:06.340]   like
[00:02:06.340 --> 00:02:06.540]   to
[00:02:06.540 --> 00:02:07.020]   live
[00:02:07.020 --> 00:02:07.570]   inside
[00:02:07.570 --> 00:02:07.720]   a
[00:02:07.720 --> 00:02:07.840]   T
[00:02:07.840 --> 00:02:07.950]  eg
[00:02:07.950 --> 00:02:08.180]  zin
[00:02:08.180 --> 00:02:08.380]  g
[00:02:08.380 --> 00:02:10.250]   episode
[00:02:10.250 --> 00:02:10.610]  ?
[00:02:10.610 --> 00:02:10.990]   Or
[00:02:10.990 --> 00:02:11.040]   at
[00:02:11.040 --> 00:02:11.160]   least
[00:02:11.160 --> 00:02:11.640]   Justin
[00:02:11.640 --> 00:02:11.780]  's
[00:02:11.780 --> 00:02:12.260]   half
[00:02:12.260 --> 00:02:12.310]   of
[00:02:12.310 --> 00:02:12.420]   it
[00:02:12.420 --> 00:02:12.750]  .
[00:02:12.750 --> 00:02:12.970]   Yeah
[00:02:12.970 --> 00:02:13.280]   well
[00:02:13.280 --> 00:02:13.450]   it
[00:02:13.450 --> 00:02:13.770]   was
[00:02:13.770 --> 00:02:14.010]   good
[00:02:14.010 --> 00:02:14.300]  .
[00:02:14.300 --> 00:02:14.460]   As
[00:02:14.460 --> 00:02:14.480]   I
[00:02:14.480 --> 00:02:14.700]   said
[00:02:14.700 --> 00:02:15.080]   before
[00:02:15.080 --> 00:02:15.570]   it
[00:02:15.570 --> 00:02:16.030]  's
[00:02:16.030 --> 00:02:16.040]   really
[00:02:16.040 --> 00:02:16.040]   it
[00:02:16.040 --> 00:02:16.040]  's
[00:02:16.040 --> 00:02:16.080]  
[00:02:16.080 --> 00:02:16.410]   really
[00:02:16.410 --> 00:02:16.660]   real
[00:02:16.660 --> 00:02:16.930]  .
[00:02:16.930 --> 00:02:17.020]   You
[00:02:17.020 --> 00:02:17.270]   have
[00:02:17.270 --> 00:02:17.450]   the
[00:02:17.450 --> 00:02:17.690]   same
[00:02:17.690 --> 00:02:18.500]   relationship
[00:02:18.500 --> 00:02:18.870]   outside
[00:02:18.870 --> 00:02:18.990]   of
[00:02:18.990 --> 00:02:19.050]   T
[00:02:19.050 --> 00:02:19.190]  eg
[00:02:19.190 --> 00:02:19.230]  z
[00:02:19.230 --> 00:02:19.480]  ing
[00:02:19.480 --> 00:02:19.890]  .
[00:02:19.890 --> 00:02:20.120]   Right
[00:02:20.120 --> 00:02:21.120]  .
[00:02:21.120 --> 00:02:21.800]   So
[00:02:21.800 --> 00:02:22.110]   that
[00:02:22.110 --> 00:02:22.250]  's
[00:02:22.250 --> 00:02:22.680]   good
[00:02:22.680 --> 00:02:22.800]  .
[00:02:22.800 --> 00:02:22.930]   We
[00:02:22.930 --> 00:02:23.360]   know
[00:02:23.360 --> 00:02:23.570]   that
[00:02:23.570 --> 00:02:23.790]   you
[00:02:23.790 --> 00:02:24.030]   don
[00:02:24.030 --> 00:02:24.180]  't
[00:02:24.180 --> 00:02:24.520]   fake
[00:02:24.520 --> 00:02:24.680]   any
[00:02:24.680 --> 00:02:25.240]   of
[00:02:25.240 --> 00:02:25.250]   these
[00:02:25.250 --> 00:02:27.320]   discussions
[00:02:27.320 --> 00:02:27.320]  .
[00:02:27.320 --> 00:02:27.500]   And
[00:02:27.500 --> 00:02:27.620]   it
[00:02:27.620 --> 00:02:27.800]   was
[00:02:27.800 --> 00:02:28.480]   interesting
[00:02:28.480 --> 00:02:28.680]  .
[00:02:28.680 --> 00:02:28.830]   It
[00:02:28.830 --> 00:02:28.900]  's
[00:02:28.900 --> 00:02:29.340]   still
[00:02:29.340 --> 00:02:29.960]   unbelievable
[00:02:29.960 --> 00:02:30.280]   and
[00:02:30.280 --> 00:02:30.340]   it
[00:02:30.340 --> 00:02:30.360]  's
[00:02:30.360 --> 00:02:30.760]   like
[00:02:30.760 --> 00:02:30.980]   not
[00:02:30.980 --> 00:02:31.650]   realistic
[00:02:31.650 --> 00:02:31.790]  .
[00:02:31.790 --> 00:02:32.170]   Yeah
[00:02:32.170 --> 00:02:32.440]   it
[00:02:32.440 --> 00:02:32.480]  's
[00:02:32.480 --> 00:02:32.920]   like
[00:02:32.920 --> 00:02:33.350]   culture
[00:02:33.350 --> 00:02:33.690]   shock
[00:02:33.690 --> 00:02:33.910]  .
[00:02:33.910 --> 00:02:34.200]   You
[00:02:34.200 --> 00:02:34.280]   just
[00:02:34.280 --> 00:02:34.440]   get
[00:02:34.440 --> 00:02:34.680]   thrown
[00:02:34.680 --> 00:02:34.950]   into
[00:02:34.950 --> 00:02:35.000]   this
[00:02:35.000 --> 00:02:35.320]   new
[00:02:35.320 --> 00:02:35.670]   world
[00:02:35.670 --> 00:02:35.900]   for
[00:02:35.900 --> 00:02:35.950]   a
[00:02:35.950 --> 00:02:36.160]   few
[00:02:36.160 --> 00:02:36.510]   weeks
[00:02:36.510 --> 00:02:36.720]   and
[00:02:36.720 --> 00:02:37.000]   that
[00:02:37.000 --> 00:02:37.140]  's
[00:02:37.140 --> 00:02:37.420]   that
[00:02:37.420 --> 00:02:37.600]  's
[00:02:37.600 --> 00:02:37.840]   cool
[00:02:37.840 --> 00:02:38.220]  .
[00:02:38.220 --> 00:02:38.260]   So
[00:02:38.260 --> 00:02:38.360]   are
[00:02:38.360 --> 00:02:38.520]   you
[00:02:38.520 --> 00:02:38.740]   gonna
[00:02:38.740 --> 00:02:38.840]   be
[00:02:38.840 --> 00:02:39.080]   coming
[00:02:39.080 --> 00:02:39.320]   back
[00:02:39.320 --> 00:02:39.400]   at
[00:02:39.400 --> 00:02:39.810]   some
[00:02:39.810 --> 00:02:40.580]   point
[00:02:40.580 --> 00:02:40.640]  ?
[00:02:40.640 --> 00:02:40.740]   I
[00:02:40.740 --> 00:02:41.050]   don
[00:02:41.050 --> 00:02:41.460]  't
[00:02:41.460 --> 00:02:41.660]   know
[00:02:41.660 --> 00:02:42.180]   maybe
[00:02:42.180 --> 00:02:42.520]  .
[00:02:42.520 --> 00:02:42.840]   Maybe
[00:02:42.840 --> 00:02:42.880]   I
[00:02:42.880 --> 00:02:43.000]  'll
[00:02:43.000 --> 00:02:43.240]   come
[00:02:43.240 --> 00:02:43.480]   back
[00:02:43.480 --> 00:02:43.480]  
[00:02:43.480 --> 00:02:43.760]   this
[00:02:43.760 --> 00:02:44.170]   summer
[00:02:44.170 --> 00:02:44.540]  .
[00:02:44.540 --> 00:02:44.610]   Ah
[00:02:44.610 --> 00:02:44.820]   cool
[00:02:44.820 --> 00:02:44.840]  .
[00:02:44.840 --> 00:02:45.470]   Yeah
[00:02:45.470 --> 00:02:45.930]   because
[00:02:45.930 --> 00:02:46.090]   your
[00:02:46.090 --> 00:02:46.300]   dad
[00:02:46.300 --> 00:02:46.520]  's
[00:02:46.520 --> 00:02:46.760]   coming
[00:02:46.760 --> 00:02:46.950]   over
[00:02:46.950 --> 00:02:47.080]   this
[00:02:47.080 --> 00:02:47.320]   summer
[00:02:47.320 --> 00:02:47.420]   right
[00:02:47.420 --> 00:02:47.480]  ?
[00:02:47.480 --> 00:02:47.800]   Supp
[00:02:47.800 --> 00:02:48.100]  osed
[00:02:48.100 --> 00:02:48.220]   to
[00:02:48.220 --> 00:02:48.450]  .
[00:02:48.450 --> 00:02:48.910]   So
[00:02:48.910 --> 00:02:48.960]   you
[00:02:48.960 --> 00:02:49.160]  've
[00:02:49.160 --> 00:02:49.480]   been
[00:02:49.480 --> 00:02:49.800]   here
[00:02:49.800 --> 00:02:50.120]   what
[00:02:50.120 --> 00:02:50.520]   three
[00:02:50.520 --> 00:02:51.070]   weeks
[00:02:51.070 --> 00:02:51.140]  ?
[00:02:51.140 --> 00:02:51.190]   Two
[00:02:51.190 --> 00:02:51.760]   weeks
