
[00:00:00.000 --> 00:00:00.800]  
[00:00:00.800 --> 00:00:00.880]   Jo
[00:00:43.220 --> 00:00:43.490]   know
[00:00:43.490 --> 00:00:43.760]   once
[00:00:43.760 --> 00:00:43.890]   it
[00:00:43.890 --> 00:00:44.020]  's
[00:00:44.020 --> 00:00:44.360]   about
[00:00:44.360 --> 00:00:44.700]   three
[00:00:44.700 --> 00:00:44.750]   o
[00:00:44.750 --> 00:00:45.160]  '
[00:00:45.160 --> 00:00:45.180]  clock
[00:00:45.180 --> 00:00:45.290]   on
[00:00:45.290 --> 00:00:45.700]   Friday
[00:00:45.700 --> 00:00:45.830]   I
[00:00:45.830 --> 00:00:45.890]  'm
[00:00:45.890 --> 00:00:46.160]   sort
[00:00:46.160 --> 00:00:46.300]   of
[00:00:46.300 --> 00:00:46.830]   mentally
[00:00:46.830 --> 00:00:47.370]   checking
[00:00:47.370 --> 00:00:47.570]   out
[00:00:47.570 --> 00:00:47.720]  .
[00:00:47.720 --> 00:00:47.990]   Even
[00:00:47.990 --> 00:00:48.050]   if
[00:00:48.050 --> 00:00:48.430]   I
[00:00:48.430 --> 00:00:48.510]   don
[00:00:48.510 --> 00:00:48.560]  't
[00:00:48.560 --> 00:00:48.900]   wanna
[00:00:48.900 --> 00:00:49.240]   check
[00:00:49.240 --> 00:00:49.440]   out
[00:00:49.440 --> 00:00:49.440]   I
[00:00:49.440 --> 00:00:49.550]   I
[00:00:49.550 --> 00:00:49.730]  've
[00:00:49.730 --> 00:00:50.090]   I
[00:00:50.090 --> 00:00:50.180]   find
[00:00:50.180 --> 00:00:50.500]   myself
[00:00:50.500 --> 00:00:51.040]   checking
[00:00:51.040 --> 00:00:51.170]   my
[00:00:51.170 --> 00:00:51.510]   email
[00:00:51.510 --> 00:00:51.700]  ,
[00:00:51.700 --> 00:00:52.180]   checking
[00:00:52.180 --> 00:00:52.590]   hacker
[00:00:52.590 --> 00:00:52.850]   news
[00:00:52.850 --> 00:00:52.990]  ,
[00:00:52.990 --> 00:00:53.260]   this
[00:00:53.260 --> 00:00:53.320]   kind
[00:00:53.320 --> 00:00:53.660]   of
[00:00:53.660 --> 00:00:53.880]   I
[00:00:53.880 --> 00:00:54.060]   dunno
[00:00:54.060 --> 00:00:54.310]  .
[00:00:54.310 --> 00:00:54.530]   Just
[00:00:54.530 --> 00:00:54.940]   just
[00:00:54.940 --> 00:00:55.010]   not
[00:00:55.010 --> 00:00:55.410]   really
[00:00:55.410 --> 00:00:55.880]   getting
[00:00:55.880 --> 00:00:55.940]   a
[00:00:55.940 --> 00:00:56.140]   lot
[00:00:56.140 --> 00:00:56.460]   done
[00:00:56.460 --> 00:00:57.720]  . [SPEAKER_TURN]
[00:01:00.760 --> 00:01:00.820]  
[00:01:00.820 --> 00:01:00.950]   No
[00:01:00.950 --> 00:01:01.060]   but
[00:01:01.060 --> 00:01:01.120]   I
[00:01:01.120 --> 00:01:01.240]   wh
[00:01:01.240 --> 00:01:01.320]  a
[00:01:01.320 --> 00:01:01.480]   and
[00:01:01.480 --> 00:01:01.660]   you
[00:01:01.660 --> 00:01:01.890]  're
[00:01:01.890 --> 00:01:02.260]   getting
[00:01:02.260 --> 00:01:02.440]   you
[00:01:02.440 --> 00:01:02.690]   know
[00:01:02.690 --> 00:01:02.860]   you
[00:01:02.860 --> 00:01:03.040]  're
[00:01:03.040 --> 00:01:03.460]   getting
[00:01:03.460 --> 00:01:03.760]   ready
[00:01:03.760 --> 00:01:04.020]   kind
[00:01:04.020 --> 00:01:04.120]   of
[00:01:04.120 --> 00:01:04.600]   mentally
[00:01:04.600 --> 00:01:04.810]   for
[00:01:04.810 --> 00:01:05.110]   the
[00:01:05.110 --> 00:01:05.380]   weekend
[00:01:05.380 --> 00:01:05.440]   I
[00:01:05.440 --> 00:01:05.620]  .
[00:01:05.620 --> 00:01:05.920]   mean
[00:01:05.920 --> 00:01:05.940]   I
[00:01:05.940 --> 00:01:06.160]   also
[00:01:06.160 --> 00:01:06.400]   feel
[00:01:06.400 --> 00:01:06.640]   that
[00:01:06.640 --> 00:01:06.760]   um
[00:01:06.760 --> 00:01:07.240]   because
[00:01:07.240 --> 00:01:07.240]   I
[00:01:07.240 --> 00:01:07.690]   guess
[00:01:07.690 --> 00:01:07.900]   pretty
[00:01:07.900 --> 00:01:08.500]   soon
[00:01:08.500 --> 00:01:08.620]   George
[00:01:08.620 --> 00:01:08.700]   is
[00:01:08.700 --> 00:01:08.920]   gonna
[00:01:08.920 --> 00:01:09.160]   come
[00:01:09.160 --> 00:01:09.400]   home
[00:01:09.400 --> 00:01:09.580]   and
[00:01:09.580 --> 00:01:09.840]   then
[00:01:09.840 --> 00:01:09.940]   we
[00:01:09.940 --> 00:01:10.120]  're
[00:01:10.120 --> 00:01:10.420]   gonna
[00:01:10.420 --> 00:01:10.540]   go
[00:01:10.540 --> 00:01:10.720]   out
[00:01:10.720 --> 00:01:10.840]   to
[00:01:10.840 --> 00:01:11.200]   dinner
[00:01:11.200 --> 00:01:11.320]   or
[00:01:11.320 --> 00:01:11.870]   whatever
[00:01:11.870 --> 00:01:12.100]  .
[00:01:12.100 --> 00:01:12.120]   So
[00:01:12.120 --> 00:01:12.220]   my
[00:01:12.220 --> 00:01:12.450]   next
[00:01:12.450 --> 00:01:12.760]   piece
[00:01:12.760 --> 00:01:12.900]   of
[00:01:12.900 --> 00:01:13.180]   major
[00:01:13.180 --> 00:01:13.420]   work
[00:01:13.420 --> 00:01:13.540]   is
[00:01:13.540 --> 00:01:13.840]   gonna
[00:01:13.840 --> 00:01:14.200]   happen
[00:01:14.200 --> 00:01:14.680]   tomorrow
[00:01:14.680 --> 00:01:14.800]  ,
[00:01:14.800 --> 00:01:15.040]   like
[00:01:15.040 --> 00:01:15.280]   what
[00:01:15.280 --> 00:01:15.340]   I
[00:01:15.340 --> 00:01:15.400]   p
[00:01:15.400 --> 00:01:15.460]   I
[00:01:15.460 --> 00:01:15.910]   usually
[00:01:15.910 --> 00:01:16.120]   work
[00:01:16.120 --> 00:01:16.240]   on
[00:01:16.240 --> 00:01:16.720]   Saturday
[00:01:16.720 --> 00:01:16.840]   in
[00:01:16.840 --> 00:01:17.020]   the
[00:01:17.020 --> 00:01:17.480]   first
[00:01:17.480 --> 00:01:17.560]   half
[00:01:17.560 --> 00:01:17.680]   of
[00:01:17.680 --> 00:01:17.970]   the
[00:01:17.970 --> 00:01:18.110]   day
[00:01:18.110 --> 00:01:18.220]   and
[00:01:18.220 --> 00:01:18.610]   Sunday
[00:01:18.610 --> 00:01:18.760]   the
[00:01:18.760 --> 00:01:19.220]   first
[00:01:19.220 --> 00:01:19.300]   half
[00:01:19.300 --> 00:01:19.420]   of
[00:01:19.420 --> 00:01:19.600]   the
[00:01:19.600 --> 00:01:19.780]   day
[00:01:19.780 --> 00:01:19.980]  .
[00:01:19.980 --> 00:01:20.140]   And
[00:01:20.140 --> 00:01:20.500]   it
[00:01:20.500 --> 00:01:20.510]   that
[00:01:20.510 --> 00:01:20.620]  's
[00:01:20.620 --> 00:01:20.860]   the
[00:01:20.860 --> 00:01:20.950]   r
[00:01:20.950 --> 00:01:21.330]   another
[00:01:21.330 --> 00:01:21.640]   reason
[00:01:21.640 --> 00:01:21.820]   why
[00:01:21.820 --> 00:01:21.900]   I
[00:01:21.900 --> 00:01:22.240]   really
[00:01:22.240 --> 00:01:22.480]   didn
[00:01:22.480 --> 00:01:22.600]  't
[00:01:22.600 --> 00:01:22.840]   like
[00:01:22.840 --> 00:01:23.140]   doing
[00:01:23.140 --> 00:01:23.320]   the
[00:01:23.320 --> 00:01:23.740]   podcast
[00:01:23.740 --> 00:01:23.870]   on
[00:01:23.870 --> 00:01:24.060]   the
[00:01:24.060 --> 00:01:24.520]   Saturday
[00:01:24.520 --> 00:01:25.140]   morning
[00:01:25.140 --> 00:01:25.360]   because
[00:01:25.360 --> 00:01:25.420]   I
[00:01:25.420 --> 00:01:25.540]   li
[00:01:25.540 --> 00:01:25.600]   I
[00:01:25.600 --> 00:01:25.970]   wanna
[00:01:25.970 --> 00:01:26.340]   work
[00:01:26.340 --> 00:01:26.380]   then
[00:01:26.380 --> 00:01:26.500]  ,
[00:01:26.500 --> 00:01:26.690]   you
[00:01:26.690 --> 00:01:27.090]   know
[00:01:27.090 --> 00:01:27.100]  .
[00:01:27.100 --> 00:01:27.220]   So
[00:01:27.220 --> 00:01:27.400]   but
[00:01:27.400 --> 00:01:27.520]   uh
[00:01:27.520 --> 00:01:27.720]   but
[00:01:27.720 --> 00:01:27.940]   also
[00:01:27.940 --> 00:01:28.120]   the
[00:01:28.120 --> 00:01:28.420]   other
[00:01:28.420 --> 00:01:28.720]   thing
[00:01:28.720 --> 00:01:28.840]   is
[00:01:28.840 --> 00:01:29.080]   like
[00:01:29.080 --> 00:01:29.320]   I
[00:01:29.320 --> 00:01:29.320]   can
[00:01:29.320 --> 00:01:30.620]   just [SPEAKER_TURN]
[00:01:30.620 --> 00:01:30.730]  
[00:01:30.730 --> 00:01:30.920]   think
[00:01:30.920 --> 00:01:31.280]   better
[00:01:31.280 --> 00:01:31.430]   and
[00:01:31.430 --> 00:01:31.680]   talk
[00:01:31.680 --> 00:01:32.060]   better
[00:01:32.060 --> 00:01:32.120]   on
[00:01:32.120 --> 00:01:32.290]   the
[00:01:32.290 --> 00:01:32.400]   on
[00:01:32.400 --> 00:01:32.520]   a
[00:01:32.520 --> 00:01:32.800]   Friday
[00:01:32.800 --> 00:01:33.320]   afternoon
[00:01:33.320 --> 00:01:33.370]   '
[00:01:33.370 --> 00:01:33.660]  cause
[00:01:33.660 --> 00:01:33.710]   I
[00:01:33.710 --> 00:01:33.930]  've
[00:01:33.930 --> 00:01:34.290]   because
[00:01:34.290 --> 00:01:34.340]   I
[00:01:34.340 --> 00:01:34.510]  've
[00:01:34.510 --> 00:01:34.680]   had
[00:01:34.680 --> 00:01:34.850]   the
[00:01:34.850 --> 00:01:35.020]   day
[00:01:35.020 --> 00:01:35.130]   to
[00:01:35.130 --> 00:01:35.360]   kind
[00:01:35.360 --> 00:01:35.470]   of
[00:01:35.470 --> 00:01:35.930]   engage
[00:01:35.930 --> 00:01:35.930]   my
[00:01:35.930 --> 00:01:36.290]   brain
[00:01:36.290 --> 00:01:36.390]   you
[00:01:36.390 --> 00:01:36.620]   know
[00:01:36.620 --> 00:01:36.830]  .
[00:01:36.830 --> 00:01:37.200]   Whereas
[00:01:37.200 --> 00:01:37.490]   first
[00:01:37.490 --> 00:01:37.800]   thing
[00:01:37.800 --> 00:01:38.000]   nine
[00:01:38.000 --> 00:01:38.060]   o
[00:01:38.060 --> 00:01:38.110]  '
[00:01:38.110 --> 00:01:38.400]  clock
[00:01:38.400 --> 00:01:38.510]   on
[00:01:38.510 --> 00:01:38.550]   a
[00:01:38.550 --> 00:01:39.030]   Saturday
[00:01:39.030 --> 00:01:39.150]   morning
[00:01:39.150 --> 00:01:39.660]   it
[00:01:39.660 --> 00:01:39.760]  's
[00:01:39.760 --> 00:01:39.890]   like
[00:01:39.890 --> 00:01:40.000]   uh
[00:01:40.000 --> 00:01:40.230]   what
[00:01:40.230 --> 00:01:40.630]   you
[00:01:40.630 --> 00:01:40.780]   know
[00:01:40.780 --> 00:01:40.800]  .
[00:01:40.800 --> 00:01:40.910]   So
[00:01:40.910 --> 00:01:40.960]   I
[00:01:40.960 --> 00:01:41.070]  'm
[00:01:41.070 --> 00:01:41.650]   definitely
[00:01:41.650 --> 00:01:41.880]   yeah
[00:01:41.880 --> 00:01:42.220]   this
[00:01:42.220 --> 00:01:42.270]   is
[00:01:42.270 --> 00:01:42.460]   this
[00:01:42.460 --> 00:01:42.620]   is
[00:01:42.620 --> 00:01:42.910]   really
[00:01:42.910 --> 00:01:43.140]   good
[00:01:43.140 --> 00:01:43.400]   this
[00:01:43.400 --> 00:01:43.480]   is
[00:01:43.480 --> 00:01:43.650]   the
[00:01:43.650 --> 00:01:43.830]   way
[00:01:43.830 --> 00:01:43.930]   to
[00:01:43.930 --> 00:01:44.040]   go
[00:01:44.040 --> 00:01:45.100]  . [SPEAKER_TURN]
[00:01:45.100 --> 00:01:47.410]   Yeah
[00:01:47.410 --> 00:01:49.320]  . [SPEAKER_TURN]
[00:01:49.320 --> 00:01:50.170]   M
[00:01:50.170 --> 00:01:51.020]  m
[00:01:51.020 --> 00:01:51.960]  -
[00:01:51.960 --> 00:01:52.720]  h
[00:01:52.720 --> 00:01:54.420]  mm
[00:01:54.420 --> 00:01:56.980]  . [SPEAKER_TURN]
[00:01:56.980 --> 00:01:57.480]   Yeah
[00:01:57.480 --> 00:01:58.880]  . [SPEAKER_TURN]
[00:01:58.880 --> 00:01:58.880]  
[00:01:58.880 --> 00:01:59.160]   that
[00:01:59.160 --> 00:01:59.240]   is
[00:01:59.240 --> 00:01:59.480]   when
[00:01:59.480 --> 00:01:59.540]   I
[00:01:59.540 --> 00:01:59.660]   am
[00:01:59.660 --> 00:02:00.030]   really
[00:02:00.030 --> 00:02:00.460]   getting
[00:02:00.460 --> 00:02:00.830]   almost
[00:02:00.830 --> 00:02:01.200]   worked
[00:02:01.200 --> 00:02:01.330]   on
[00:02:01.330 --> 00:02:01.500]  .
[00:02:01.500 --> 00:02:01.620]   Is
[00:02:01.620 --> 00:02:01.740]   is
[00:02:01.740 --> 00:02:01.820]   d
[00:02:01.820 --> 00:02:01.980]   and
[00:02:01.980 --> 00:02:02.170]   the
[00:02:02.170 --> 00:02:02.590]   weekday
[00:02:02.590 --> 00:02:03.080]   mornings
[00:02:03.080 --> 00:02:03.320]   from
[00:02:03.320 --> 00:02:03.560]   like
[00:02:03.560 --> 00:02:03.740]   you
[00:02:03.740 --> 00:02:03.980]   know
[00:02:03.980 --> 00:02:04.280]   eight
[00:02:04.280 --> 00:02:04.730]   thirty
[00:02:04.730 --> 00:02:04.770]   to
[00:02:04.770 --> 00:02:04.830]   n
[00:02:04.830 --> 00:02:05.010]   one
[00:02:05.010 --> 00:02:05.130]  ,
[00:02:05.130 --> 00:02:05.310]   and
[00:02:05.310 --> 00:02:05.430]   so
[00:02:05.430 --> 00:02:05.550]   to
[00:02:05.550 --> 00:02:05.850]   take
[00:02:05.850 --> 00:02:05.850]   a
[00:02:05.850 --> 00:02:06.210]   big
[00:02:06.210 --> 00:02:06.310]   two
[00:02:06.310 --> 00:02:06.450]   hour
[00:02:06.450 --> 00:02:06.750]   chunk
[00:02:06.750 --> 00:02:06.930]   out
[00:02:06.930 --> 00:02:07.110]   of
[00:02:07.110 --> 00:02:07.170]   my
[00:02:07.170 --> 00:02:07.600]   morning
[00:02:07.600 --> 00:02:07.780]   and
[00:02:07.780 --> 00:02:07.960]   not
[00:02:07.960 --> 00:02:08.140]   get
[00:02:08.140 --> 00:02:08.320]   any
[00:02:08.320 --> 00:02:08.550]   work
[00:02:08.550 --> 00:02:08.860]   done
[00:02:08.860 --> 00:02:08.860]   would
[00:02:08.860 --> 00:02:09.340]   d
[00:02:09.340 --> 00:02:09.460]   would
[00:02:09.460 --> 00:02:09.630]   be
[00:02:09.630 --> 00:02:09.640]   s
[00:02:09.640 --> 00:02:09.880]   feel
[00:02:09.880 --> 00:02:10.120]   sort
[00:02:10.120 --> 00:02:10.240]   of
[00:02:10.240 --> 00:02:10.590]   would
[00:02:10.590 --> 00:02:10.660]   be
[00:02:10.660 --> 00:02:11.330]   frustrating
[00:02:11.330 --> 00:02:11.510]   but
[00:02:11.510 --> 00:02:11.630]  ,
[00:02:11.630 --> 00:02:11.750]   it
[00:02:11.750 --> 00:02:11.870]  'd
[00:02:11.870 --> 00:02:12.000]   also
[00:02:12.000 --> 00:02:12.520]   feel
[00:02:12.520 --> 00:02:12.590]   like
[00:02:12.590 --> 00:02:12.880]   that
[00:02:12.880 --> 00:02:13.010]   not
[00:02:13.010 --> 00:02:13.310]   being
[00:02:13.310 --> 00:02:14.150]   irresponsible
[00:02:14.150 --> 00:02:15.140]  . [SPEAKER_TURN]
[00:02:16.660 --> 00:02:16.660]  
[00:02:16.660 --> 00:02:16.710]   I
[00:02:16.710 --> 00:02:16.910]   don
[00:02:16.910 --> 00:02:16.980]  't
[00:02:16.980 --> 00:02:17.280]   wanna
[00:02:17.280 --> 00:02:17.480]   feel
[00:02:17.480 --> 00:02:17.700]   like
[00:02:17.700 --> 00:02:17.800]   I
[00:02:17.800 --> 00:02:17.860]  'm
[00:02:17.860 --> 00:02:18.180]   being
[00:02:18.180 --> 00:02:18.870]   irresponsible
[00:02:18.870 --> 00:02:18.980]  ,
[00:02:18.980 --> 00:02:19.140]   but
[00:02:19.140 --> 00:02:19.300]   now
[00:02:19.300 --> 00:02:19.650]   Friday
[00:02:19.650 --> 00:02:19.910]   after
[00:02:19.910 --> 00:02:20.020]  no
[00:02:20.020 --> 00:02:20.180]  ons
[00:02:20.180 --> 00:02:20.460]   three
[00:02:20.460 --> 00:02:20.510]   o
[00:02:20.510 --> 00:02:20.590]  '
[00:02:20.590 --> 00:02:20.840]  clock
[00:02:20.840 --> 00:02:20.950]   it
[00:02:20.950 --> 00:02:21.060]  's
[00:02:21.060 --> 00:02:21.340]   three
[00:02:21.340 --> 00:02:21.670]   thirty
[00:02:21.670 --> 00:02:21.780]  ,
[00:02:21.780 --> 00:02:21.890]   ah
[00:02:21.890 --> 00:02:22.040]   you
[00:02:22.040 --> 00:02:22.280]   know
[00:02:22.280 --> 00:02:22.380]   it
[00:02:22.380 --> 00:02:22.490]  's
[00:02:22.490 --> 00:02:22.600]   it
[00:02:22.600 --> 00:02:22.710]  's
[00:02:22.710 --> 00:02:22.830]   it
[00:02:22.830 --> 00:02:23.020]  's
[00:02:23.020 --> 00:02:23.430]   basically
[00:02:23.430 --> 00:02:23.480]   s
[00:02:23.480 --> 00:02:23.700]   done
[00:02:23.700 --> 00:02:23.750]   I
[00:02:23.750 --> 00:02:23.860]  'm
[00:02:23.860 --> 00:02:24.020]   not
[00:02:24.020 --> 00:02:24.410]   getting
[00:02:24.410 --> 00:02:24.630]   much
[00:02:24.630 --> 00:02:24.850]   done
[00:02:24.850 --> 00:02:25.000]   anyway
[00:02:25.000 --> 00:02:25.340]   you
[00:02:25.340 --> 00:02:25.610]  ,
[00:02:25.610 --> 00:02:25.670]   know
[00:02:25.670 --> 00:02:25.830]   and
[00:02:25.830 --> 00:02:26.050]   then
[00:02:26.050 --> 00:02:26.160]   it
[00:02:26.160 --> 00:02:26.460]   then
[00:02:26.460 --> 00:02:26.600]   also
[00:02:26.600 --> 00:02:26.930]   forces
[00:02:26.930 --> 00:02:27.040]   me
[00:02:27.040 --> 00:02:27.200]   the
[00:02:27.200 --> 00:02:27.520]   first
[00:02:27.520 --> 00:02:27.700]   part
[00:02:27.700 --> 00:02:27.800]   of
[00:02:27.800 --> 00:02:28.040]   the
[00:02:28.040 --> 00:02:28.130]   set
[00:02:28.130 --> 00:02:28.460]   Friday
[00:02:28.460 --> 00:02:28.570]   to
[00:02:28.570 --> 00:02:28.900]   really
[00:02:28.900 --> 00:02:29.170]   crank
[00:02:29.170 --> 00:02:29.570]   right
[00:02:29.570 --> 00:02:29.680]  ,
[00:02:29.680 --> 00:02:29.960]   knowing
[00:02:29.960 --> 00:02:30.180]   that
[00:02:30.180 --> 00:02:30.230]   I
[00:02:30.230 --> 00:02:30.340]  'm
[00:02:30.340 --> 00:02:30.790]   checking
[00:02:30.790 --> 00:02:30.950]   out
[00:02:30.950 --> 00:02:31.110]   the
[00:02:31.110 --> 00:02:31.390]   three
[00:02:31.390 --> 00:02:31.720]   thirty
[00:02:31.720 --> 00:02:32.000]   means
[00:02:32.000 --> 00:02:32.050]   I
[00:02:32.050 --> 00:02:32.330]   gotta
[00:02:32.330 --> 00:02:32.540]   get
[00:02:32.540 --> 00:02:32.650]   all
[00:02:32.650 --> 00:02:32.760]   my
[00:02:32.760 --> 00:02:33.040]   stuff
[00:02:33.040 --> 00:02:33.270]   done
[00:02:33.270 --> 00:02:33.540]   which
[00:02:33.540 --> 00:02:33.730]  ,
[00:02:33.730 --> 00:02:33.760]   is
[00:02:33.760 --> 00:02:33.810]   a
[00:02:33.810 --> 00:02:34.090]   good
[00:02:34.090 --> 00:02:34.190]   fee
[00:02:34.190 --> 00:02:34.350]   and
[00:02:34.350 --> 00:02:34.390]   I
[00:02:34.390 --> 00:02:34.410]   did
[00:02:34.410 --> 00:02:35.020]   today
[00:02:35.020 --> 00:02:35.130]   which
[00:02:35.130 --> 00:02:35.230]  ,
[00:02:35.230 --> 00:02:35.340]   is
[00:02:35.340 --> 00:02:35.840]   something
[00:02:35.840 --> 00:02:36.100]   else
[00:02:36.100 --> 00:02:36.170]  ,
[00:02:36.170 --> 00:02:36.280]   so
[00:02:36.280 --> 00:02:37.440]  . [SPEAKER_TURN]
[00:02:37.440 --> 00:02:37.750]   Well
[00:02:37.750 --> 00:02:38.090]   we
[00:02:38.090 --> 00:02:38.200]   got
[00:02:38.200 --> 00:02:38.200]   a
[00:02:38.200 --> 00:02:38.820]   donation
[00:02:38.820 --> 00:02:39.130]   from
[00:02:39.130 --> 00:02:39.280]   um
[00:02:39.280 --> 00:02:39.510]   Ben
[00:02:39.510 --> 00:02:39.740]   Boy
[00:02:39.740 --> 00:02:40.280]  ter
[00:02:40.280 --> 00:02:40.290]   gave
[00:02:40.290 --> 00:02:40.430]   us
[00:02:40.430 --> 00:02:40.690]   ten
[00:02:40.690 --> 00:02:41.390]   bucks
[00:02:41.390 --> 00:02:41.610]   thanks
[00:02:41.610 --> 00:02:41.670]  ,
[00:02:41.670 --> 00:02:41.900]   Ben
[00:02:41.900 --> 00:02:42.130]  .
[00:02:42.130 --> 00:02:42.200]   G
[00:02:42.200 --> 00:02:42.430]  ett
[00:02:42.430 --> 00:02:42.660]   get
[00:02:42.660 --> 00:02:43.190]   that
[00:02:43.190 --> 00:02:43.840]   definitely
[00:02:43.840 --> 00:02:44.060]   gets
[00:02:44.060 --> 00:02:44.130]   a
[00:02:44.130 --> 00:02:44.520]   shout
[00:02:44.520 --> 00:02:44.750]   out
[00:02:44.750 --> 00:02:45.760]  . [SPEAKER_TURN]
[00:02:45.760 --> 00:02:46.460]   So
[00:02:46.620 --> 00:02:46.680]   I
[00:02:46.680 --> 00:02:46.720]   now
[00:02:46.720 --> 00:02:46.760]   I
[00:02:46.760 --> 00:02:46.940]   was
[00:02:46.940 --> 00:02:47.360]   getting
[00:02:47.360 --> 00:02:47.690]   some
[00:02:47.690 --> 00:02:47.960]   emails
[00:02:47.960 --> 00:02:48.200]   from
[00:02:48.200 --> 00:02:48.380]   the
[00:02:48.380 --> 00:02:48.560]   Pay
[00:02:48.560 --> 00:02:48.730]  pal
[00:02:48.730 --> 00:02:49.020]   that
[00:02:49.020 --> 00:02:49.080]  's
[00:02:49.080 --> 00:02:49.200]   in
[00:02:49.200 --> 00:02:49.440]   your
[00:02:49.440 --> 00:02:49.860]   name
[00:02:49.860 --> 00:02:49.910]   and
[00:02:49.910 --> 00:02:49.980]   it
[00:02:49.980 --> 00:02:50.180]   was
[00:02:50.180 --> 00:02:50.400]   like
[00:02:50.400 --> 00:02:50.520]   we
